                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.299,                 1.3654,                 1.4264,                0.84133,                   0.25,                0.26007,                0.11553,                  2.389,                 4.5941,                 3.0787,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2952,                 1.3126,                  1.392,                0.62881,                   0.25,                0.26177,                 0.1552,                 2.4389,                 3.8346,                 3.0175,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2896,                 1.3334,                 1.4285,                0.46502,                  0.375,                 0.3669,                0.17348,                 2.2102,                 3.2917,                 2.6869,               0.001307,               0.001307,               0.001307
                     38,                 1.2111,                 1.3946,                 1.4339,                0.92925,                   0.25,                0.29092,                0.15571,                 2.3443,                 3.0927,                 2.9782,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2913,                 1.3907,                 1.4337,                0.87193,                   0.25,                0.29406,                0.15831,                 2.5083,                 3.1071,                 3.0695,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.391,                  1.408,                  1.507,                0.66428,                   0.25,                0.30993,                0.15465,                 2.4836,                 2.7319,                 3.2137,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2096,                 1.2187,                 1.3714,                0.73948,                0.35922,                0.36788,                0.17664,                 2.4104,                 2.8849,                   2.97,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.321,                 1.2102,                 1.3881,                0.53129,                    0.5,                0.38751,                0.18772,                 2.4372,                 3.0652,                 2.9685,               0.001208,               0.001208,               0.001208
                     43,                 1.2463,                 1.3118,                 1.4352,                 0.4928,                    0.5,                0.31699,                0.16021,                  2.302,                 3.5276,                 2.6934,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1244,                 1.1709,                 1.3691,                0.44766,                    0.5,                0.33253,                0.16947,                 2.4896,                 3.2676,                 2.7924,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1301,                 1.1972,                 1.3879,                0.68739,                  0.375,                0.35346,                0.19529,                 2.4333,                 2.8225,                 2.8225,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1882,                 1.2594,                 1.3752,                      1,                0.59115,                0.62562,                0.32045,                 2.1436,                  2.427,                 2.5707,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1789,                 1.2037,                 1.3423,                      1,                0.37417,                0.46277,                0.21157,                 2.1773,                 2.7307,                 2.6143,               0.001109,               0.001109,               0.001109
                     48,                 1.2071,                  1.261,                 1.3829,                0.76831,                    0.5,                0.47269,                0.20893,                 2.3929,                 2.9194,                 2.7927,              0.0010892,              0.0010892,              0.0010892
