                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2119,                 2.1597,                  1.303,                 1.2811,                0.14718,                    0.5,                0.10387,                0.06512,                  0.063,                0.33333,                0.03285,                 0.0122,                 1.5866,                 3.6602,                 3.2063,                 1.9634,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.3761,                 2.1691,                 1.4667,                 1.2904,                 0.4699,                0.16667,                0.24226,                0.14237,                0.26852,                    0.5,                0.35833,                0.10132,                 1.5617,                 3.7668,                 3.0014,                 1.9979,              0.0015096,              0.0015096,              0.0015096
                     26,                   1.32,                   2.23,                 1.4452,                 1.2502,                0.45464,                0.33333,                0.32923,                0.08581,                0.13422,                0.33333,                0.10995,                0.03174,                 1.8957,                 4.5338,                 3.7715,                 2.4059,               0.001505,               0.001505,               0.001505
                     27,                 1.2713,                 2.6563,                  1.419,                 1.2233,                 0.2714,                    0.5,                0.24836,                0.09257,                0.16531,                0.83333,                0.16814,                0.03998,                 1.7269,                 3.5906,                 4.2917,                 2.1313,               0.001505,               0.001505,               0.001505
                     28,                 1.1801,                 2.2617,                 1.1895,                 1.2028,                0.43403,                0.66667,                0.49543,                0.23144,                0.24881,                    0.5,                0.17694,                0.06854,                 1.8365,                 4.1901,                 3.3002,                  2.166,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2703,                 2.2342,                 1.4351,                 1.2726,                0.76277,                0.66667,                0.66033,                0.36171,                0.56228,                    0.5,                0.36714,                0.09856,                 1.5291,                 3.9234,                 2.6143,                 1.9084,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1931,                  2.099,                 1.1764,                 1.2293,                0.56669,                    0.5,                0.40202,                0.30755,                0.56669,                    0.5,                0.41508,                0.17447,                 1.3352,                 3.3286,                 2.8128,                 1.5913,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2669,                 2.2449,                 1.2477,                 1.3025,                0.45708,                    0.5,                0.38058,                0.28172,                0.45708,                    0.5,                0.41235,                0.17109,                 1.5716,                 2.8767,                 2.8367,                 1.9233,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2381,                 2.1486,                 1.2388,                  1.234,                0.40757,                    0.5,                0.45035,                0.33761,                0.40757,                    0.5,                 0.4687,                0.23854,                 1.6272,                 2.5343,                 2.7864,                 2.3873,               0.001406,               0.001406,               0.001406
                     33,                 1.1883,                 2.1853,                 1.2278,                 1.2181,                0.69502,                    0.5,                0.53437,                0.39316,                0.69502,                    0.5,                 0.5301,                 0.3114,                 1.6036,                 2.3157,                 3.2276,                 2.3285,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.2568,                 2.2653,                 1.2264,                   1.24,                0.44029,                    0.5,                0.55672,                0.42048,                0.44029,                    0.5,                0.52819,                0.34059,                 1.3703,                 2.3907,                 4.4574,                 2.0223,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2261,                 2.0058,                 1.2167,                 1.2426,                0.57951,                    0.5,                0.61508,                0.40411,                0.57951,                    0.5,                0.57785,                0.37744,                 1.3661,                 2.3677,                 4.0775,                  2.176,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2691,                 2.3693,                 1.1972,                 1.2362,                0.68062,                    0.5,                0.57926,                0.43824,                0.68062,                    0.5,                0.57597,                0.39624,                 1.4864,                 2.3712,                 3.6301,                 2.2635,              0.0013268,              0.0013268,              0.0013268
